Provider Name,State,City,Claims_Paid_for_Testing,Claims_Paid_for_Treatment,Georeferenced Column
THE CHARLOTTE MECKLENB,NC,LINCOLNTON,8868.28,67217.44,POINT (-81.240128 35.476429)
OUR URGENT CARE HEALTH,MD,ELKRIDGE,949.52,0,POINT (-76.70969 39.21662100000001)
ADVANCED RADIOLOGY CON,MO,INDEPENDENCE,62.93,36.24,POINT (-94.412017 39.093659)
ARIA HEALTH PHYSICIAN,PA,LEVITTOWN,27.82,0,POINT (-74.827115 40.154658)
JEFFERSON UNIVERSITY P,NJ,VOORHEES,0,1518.89,POINT (-74.949196 39.857822000000006)
SUNCOAST URGENT CARE C,FL,SPRING HILL,3913.49,888.73,POINT (-82.538748 28.476924)
BERGEN POST ACUTE CARE,NJ,HACKENSACK,0,4241.73,POINT (-74.043799 40.881341)
KOOTENAI COUNTY EMS,ID,COEUR D ALENE,0,1703.44,POINT (-116.784122 47.673517)
ST PETERS HEALTH PARTN,NY,ALBANY,0,27.42,POINT (-73.755418 42.651242)
NORTHWEST ACUTE CARE S,OR,GRESHAM,1657.83,121.25,POINT (-122.42767699999999 45.496729)
UNIVERSITY OF UTAH HEA,UT,SALT LAKE CITY,0,141.18,POINT (-111.888142 40.758478)
ANESCO NORTH BROWARD L,FL,DEERFIELD BEACH,0,974.46,POINT (-80.099781 26.320584)
MID OHIO EMERGENCY PHY,OH,MANSFIELD,362.38,362.38,POINT (-82.515469 40.758553)
UCLA DEPARTMENT OF MED,CA,LOS ANGELES,204.23,0,POINT (-118.243344 34.052238)
PALMS MEDICAL GROUP,FL,CHIEFLAND,75.23,0,POINT (-82.856761 29.479563)
TRI COUNTY PRACTICE AS,TX,AUSTIN,0,910.30,POINT (-97.746598 30.264979)
JW PLASTIC SURGERY,IL,CHICAGO,314.68,47.43,POINT (-87.632398 41.88322900000001)
NOVANT MEDICAL GROUP,NC,CHARLOTTE,204.99,268.67,POINT (-80.840161 35.222936)
CROSS LAKE EMER GROUP,LA,SHREVEPORT,188.55,1692.71,POINT (-93.747757 32.51424)
SCRN LLC,NC,MONROE,320.32,0,POINT (-80.565444 35.073428)
DOCTORS ON CALL PC,CO,AVON,1295.48,0,POINT (-106.522252 39.63228)
DUPAGE EMERGENCY PHYSI,IL,NORTHBROOK,3801.89,1549.57,POINT (-87.831558 42.130979)
BELLEVUE HOSPITAL CENT,NY,ELMHURST,1610.05,1528.41,POINT (-73.878304 40.736401)
QUALIFIED EMER SPEC IN,OH,FAIRFIELD TOWNSHIP,603.86,0,POINT (-84.51965 39.390411)
PINNACLE HEALTH MEDICA,PA,YORK,0,380.50,POINT (-76.734668 39.960339)
HAZLETON PROFESSIONAL,PA,SUGARLOAF,135.35,125.16,POINT (-76.084752 40.986045)
TRI COUNTY PRACTICE AS,TX,ROUND ROCK,792.53,0,POINT (-97.678805 30.508556000000002)
PACIFIC MEDICAL CENTER,WA,PUYALLUP,0,51.07,POINT (-122.29231800000001 47.177438)
INTERMOUNTAIN HEALTHCA,UT,SALT LAKE CITY,1498.04,615.65,POINT (-111.888142 40.758478)
IOWA PHYSICIANS CLINIC,IL,MOLINE,713.89,0,POINT (-90.489271 41.492225)
SOUTHEASTERN PHYSICIAN,MO,SAINT PETERS,0,153.50,POINT (-90.595849 38.792639)
NORTHEAST GEORGIA PHYS,GA,CLEVELAND,165101.75,47267.73,POINT (-83.762891 34.596724)
Dallas County Hospital,TX,DALLAS,25418.43,3924706.49,POINT (-96.796215 32.777977)
VHS DETROIT RECEIVING,MI,DETROIT,8295.23,851.75,POINT (-83.047853 42.332916)
MCLAREN,MI,FLINT,2176.58,100.00,POINT (-83.685109 43.00992)
Florida Hospital,FL,WINTER PARK,35260.58,29046.47,POINT (-81.33882 28.600246)
TRUMAN MEDICAL CENTER,MO,KANSAS CITY,296955.29,114840.39,POINT (-94.578559 39.099792)
INFORM DIAGNOSTICS,AZ,PHOENIX,15500.00,0,POINT (-112.072585 33.448204)
SAINT  PETERS UNIVERSI,NJ,NEW BRUNSWICK,57304.37,3865824.24,POINT (-74.444139 40.495921)
EXCEL PEDIATRICS,FL,CLERMONT,0,124.86,POINT (-81.732898 28.49532)
FLORIDA HOSPITAL PHYSI,FL,TAMPA,0,114.17,POINT (-82.458776 27.947423)
GOLDEN TRIANGLE RADIOL,MS,COLUMBUS,650.11,190.42,POINT (-88.424393 33.495562)
EMERGENCY PHYSICIANS O,FL,SAINT PETERSBURG,26764.21,2134.85,POINT (-82.638488 27.772069000000002)
SOUTH BAY HOSPITAL,FL,SUN CITY CENTER,489.03,4926.45,POINT (-82.342182 27.723915)
ST JOHNS HOSPITAL,IL,SPRINGFIELD,2982.91,0,POINT (-89.643624 39.79936)
CHARLESTON CARENOW URG,SC,GOOSE CREEK,871.41,0,POINT (-80.038123 33.001149)
NORTHERN OCEAN COUNTY,NJ,NORTH BERGEN,0,436.91,POINT (-74.023344 40.793499)
DALLAS ID ASSOCIATES P,TX,IRVING,0,58911.53,POINT (-96.949933 32.813879)
KAREN THORNTON,NY,NEW YORK,395.52,129.72,POINT (-74.007228 40.713054)
NYPMG QUEENS,NY,FRESH MEADOWS,201.10,1483.63,POINT (-73.93 41.368099)
AFC URGENT CARE OF SAN,CA,SAN DIEGO,831.22,217.66,POINT (-117.163817 32.71576)
PROVIDENCE HEALTH ALLI,TX,WACO,225.04,0,POINT (-97.129989 31.556766999999997)
SETON COASTSIDE EMERGE,CA,MOSS BEACH,71.09,0,POINT (-122.513396 37.527471)
PULMONARY PHYSICIANS O,FL,HIALEAH,0,4033.55,POINT (-80.281502 25.827202)
BANNER DESERT MEDICAL,AZ,MESA,104807.04,137875.40,POINT (-111.831498 33.41514)
NORTH HILLS HOSPITAL,TX,NORTH RICHLAND HILLS,2437.01,58249.10,POINT (-97.214266 32.838869)
UNION EMERGENCY MEDICA,NJ,UNION,26207.46,2076.16,POINT (-74.269889 40.696436)
TRAVEL MEDICINE  INFEC,FL,WELLINGTON,0,20668.87,POINT (-80.253838 26.661062)
NORTH SHORE PHYSICIANS,MA,SAUGUS,3780.21,3827.83,POINT (-71.008529 42.465037)
ABBOTT NORTHWESTERN HO,MN,OAKDALE,0,92.23,POINT (-92.964595 44.98563200000001)
PORTNEUF MEDICAL CENTE,ID,POCATELLO,273.55,0,POINT (-112.443496 42.866617)
VIRGINIA HOSPITAL CENT,VA,FALLS CHURCH,0,19454.08,POINT (-77.173697 38.88393400000001)
HEALTHEAST BETHESDA HO,MN,SAINT PAUL,0,3293.31,POINT (-93.094281 44.943719)
NORTHWEST RADIOLOGY NE,IN,ANDERSON,8.95,86.37,POINT (-85.67821 40.107884)
ST JOHN PHYSICIANS INC,OK,TULSA,0,144.44,POINT (-95.992083 36.155327)
GUTHRIE CLINIC,PA,TROY,83.65,0,POINT (-76.78895 41.784698)
HENNEPIN COUNTY MEDICA,MN,MINNEAPOLIS,0,253.20,POINT (-93.264346 44.977479)
CAROLINAS PHYSICIANS N,NC,CHARLOTTE,108.81,0,POINT (-80.840161 35.222936)
GREATER MOBILE URGENT,AL,SEMMES,6325.02,406.00,POINT (-88.258892 30.778665999999998)
PALMS MEDICAL GROUP,FL,TRENTON,2031.67,0,POINT (-82.807509 29.613445)
SWEDISH PHYSICIANS LLC,WA,EDMONDS,0,64.69,POINT (-122.376643 47.811617)
LINCOLN COUNTY AMBULAN,MO,TROY,0,974.49,POINT (-90.981261 38.979534)
JOHNSON MEMORIAL HEALT,MN,DAWSON,112.32,0,POINT (-96.054659 44.932863)
JIYA MEDICAL GROUP PLL,TX,PLANO,0,957.44,POINT (-96.697586 33.019695)
SU CLINICA FAMILIAR,TX,HARLINGEN,820.96,168.10,POINT (-97.696108 26.190649)
PREMIER MEDICINE PC,MI,LIVONIA,6318.32,631.17,POINT (-83.36961000000001 42.39709)
MISSION HOSPITAL REGIO,CA,MISSION VIEJO,22554.10,79682.34,POINT (-117.65909900000001 33.595018)
SOUTH MISSISSIPPI PSYC,MS,HATTIESBURG,43418.35,317308.36,POINT (-89.289635 31.326447)
AHN WESTMORELAND PRIMA,PA,CANONSBURG,51.30,0,POINT (-80.187689 40.262711)
OSU INTERNAL MEDICINE,OH,DUBLIN,8.50,17.00,POINT (-83.113812 40.099562)
ALASKA REGIONAL HOSPIT,AK,ANCHORAGE,8704.29,148.11,POINT (-149.899597 61.21658299999999)
TEXAS HEALTH PHYSICIAN,TX,FORNEY,62.25,0,POINT (-96.472348 32.752075)
TRINITY MEDICAL CENTER,IL,ROCK ISLAND,733.66,570.69,POINT (-90.583568 41.472348)
GENESIS PRIMARY CARE P,OH,ZANESVILLE,191.44,285.28,POINT (-82.003967 39.939998)
NOVANT MEDICAL GROUP,NC,CHARLOTTE,498.26,0,POINT (-80.840161 35.222936)
MOSES CONE PHYSICIANS,NC,GREENSBORO,66.26,0,POINT (-79.793899 36.072701)
CAROLINAS PHYSICIANS N,NC,KINGS MOUNTAIN,0,199.65,POINT (-81.344356 35.240899)
PENINSULA COMMUNITY HE,WA,POULSBO,151.75,0,POINT (-122.644161 47.733346)
Empire City Laboratori,NY,BROOKLYN,586953.81,186942.75,POINT (-73.990996 40.692529)
VIA AFFILIATES,PA,DOYLESTOWN,0,2078.96,POINT (-75.130507 40.309997)
ST JOSEPH HEALTH NORTH,CA,SANTA ROSA,1619.40,446.83,POINT (-122.71564199999999 38.439698)
MEDICAL RESOURCE MANAG,OK,EDMOND,19445.53,1843.29,POINT (-97.481511 35.65314)
GOOD SAMARITAN HOSPITA,NY,WEST ISLIP,16961.09,1311824.58,POINT (-73.306541 40.706256)
RIVER REGION HEALTH SY,MS,VICKSBURG,4102.51,37241.70,POINT (-90.88245600000002 32.348144)
CENTRACARE HEALTH SYST,MN,LONG PRAIRIE,2049.53,5546.29,POINT (-94.86534400000001 45.974205000000005)
HOMETOWN HEALTH MANAGE,NV,FALLON,2326.27,18.75,POINT (-118.78151800000002 39.473939)
RURAL HEALTHCARE INC,FL,PALM COAST,412.00,0,POINT (-81.214912 29.582246999999995)
EMCARE IAH EMERGENCY P,TX,DALLAS,429.18,0,POINT (-96.796215 32.777977)
CROWLEY EMERGENCY GROU,LA,CROWLEY,1032.21,372.48,POINT (-92.381228 30.211225999999996)
EPI PC,MI,HOLLAND,1875.68,55.68,POINT (-86.09629700000002 42.751561)
MED STAT AMBULANCE LLC,TN,MANCHESTER,0,752.01,POINT (-86.081193 35.476418)
CENTERS AGENCY LLC,NY,BROOKLYN,301.99,0,POINT (-73.990996 40.692529)
SCOTT WHITE CLINIC,TX,BELTON,0,110.30,POINT (-97.463763 31.056417)
CONCORD MEDICAL GROUP,OK,OKLAHOMA CITY,171.37,0,POINT (-97.521264 35.468494)
MERCY URGENT CARE CENT,MO,EUREKA,730.56,0,POINT (-90.627978 38.502811)
DE CRAIG RANCH LLC,NV,NORTH LAS VEGAS,11410.06,22128.15,POINT (-115.116984 36.197539)
FOOTHILL PRESBYTERIAN,CA,GLENDORA,13639.24,42218.36,POINT (-117.865485 34.136001)
NORTHERN MEDICAL GROUP,NY,HIGHLAND,541.37,369.00,POINT (-73.964749 41.718863)
EMERGENCY MEDICAL ASSO,IL,CHICAGO,2758.75,704.98,POINT (-87.632398 41.88322900000001)
NEW HORIZON FAMILY HEA,SC,GREER,204.60,76.80,POINT (-82.229195 34.939311)
CROSSROADS URGENT CARE,TN,NASHVILLE,1977.66,0,POINT (-86.779932 36.166687)
MAYO CLINIC ARIZONA,AZ,SCOTTSDALE,188.04,989.75,POINT (-111.926061 33.494909)
TOWN OF HILTON HEAD EM,SC,HILTON HEAD ISLAND,0,368.95,POINT (-80.747563 32.215401)
HARVARD STREET NEIGHBO,MA,DORCHESTER,6321.40,5689.29,POINT (-71.074997 42.297199)
APP OF MISSISSIPPI ED,MS,JACKSON,1531.60,0,POINT (-90.183488 32.302897)
UVALDE MEMORIAL HOSPIT,TX,UVALDE,13213.37,752.20,POINT (-99.786769 29.210991000000003)
PRIMARY CARE AND HOPE,TN,MURFREESBORO,215.61,6689.81,POINT (-86.391449 35.845963)
ACADIANA RADIOLOGY GRO,LA,LAFAYETTE,102.25,235.82,POINT (-92.018773 30.221260000000004)
CHRISTUS HEALTH SANTA,TX,SAN ANTONIO,0,25685.21,POINT (-98.494599 29.425172999999997)
MISSION COMMUNITY ANES,NC,FRANKLIN,43.07,0,POINT (-83.381165 35.1819)
MISSION COMMUNITY ANES,NC,SPRUCE PINE,43.07,0,POINT (-82.072975 35.915839000000005)
ST JOHNS PLEASANT VALL,CA,CAMARILLO,161.51,0,POINT (-119.05066700000002 34.225403)
THIBODAUX EMERGENCY PH,LA,THIBODAUX,3429.64,0,POINT (-90.822529 29.795742)
GUTHRIE CLINIC,NY,CORTLAND,18.28,0,POINT (-76.180483 42.601213)
MANATEE COUNTY RURAL H,FL,BRADENTON,14849.43,720.10,POINT (-82.562798 27.488962)
NEW YORK SOCIETY FOR T,NY,NEW YORK,0,746.01,POINT (-74.007228 40.713054)
NYPMG QUEENS,NY,FLUSHING,5773.33,122679.93,POINT (-73.817802 40.765301)
ALTRU HEALTH SYSTEM,ND,DEVILS LAKE,74.66,0,POINT (-98.865291 48.117859)
ABBOTT NORTHWESTERN HO,MN,ELK RIVER,1644.32,716.59,POINT (-93.57741 45.307777)
ELLIS HOSPITAL,NY,SCHENECTADY,0,18260.32,POINT (-73.944103 42.814219)
UPSTATE AFFILIATE ORGA,SC,CLINTON,14041.66,1600.29,POINT (-81.880784 34.47264)
ARDAS LLC,CO,AURORA,3875.06,3377.91,POINT (-104.819356 39.71121300000001)
NORTH TEXAS KIDNEY CON,TX,ARLINGTON,0,72.83,POINT (-97.10711 32.735594)
OGDEN REGIONAL MEDICAL,UT,OGDEN,7798.86,909.41,POINT (-111.970419 41.222761)
WEBSTER HEALTH SERVICE,MS,EUPORA,864.89,0,POINT (-89.267157 33.539946)
GAINESVILLE EMERGENCY,FL,GAINESVILLE,2904.60,0,POINT (-82.325024 29.651958)
UNIVERSITY HEALTH SYST,TX,SAN ANTONIO,39041.49,763216.95,POINT (-98.494599 29.425172999999997)
BRONSON BATTLE CREEK H,MI,BATTLE CREEK,8403.75,42278.87,POINT (-85.182454 42.31918)
JAMES V MARTINO,PA,WILKES BARRE,0,582.40,POINT (-75.881184 41.246249)
FLORIDA CLINICAL PRACT,FL,GAINESVILLE,168.79,0,POINT (-82.325024 29.651958)
PRIVIA MEDICAL GROUP,VA,ALEXANDRIA,1029.15,373.35,POINT (-77.043614 38.804665)
CAMBRIDGE PUBLIC HEALT,MA,CAMBRIDGE,0,577.06,POINT (-71.105015 42.365248)
ASSOCIATED PHYSICIANS,MA,NEEDHAM,1640.81,190.22,POINT (-71.23684 42.280944)
UNITED HOSPITAL SYSTEM,WI,PLEASANT PRAIRIE,87.93,0,POINT (-87.888136 42.516834)
SOUTH CENTRAL MISSOURI,MO,ROLLA,873.86,0,POINT (-91.77255100000002 37.951497)
SOUTHEAST ALABAMA MEDI,AL,DOTHAN,0,13294.14,POINT (-85.391121 31.224296999999996)
NORTH HUDSON COMMUNITY,NJ,PASSAIC,677.01,4079.45,POINT (-74.12484 40.859885)
VIRTUA MEDICAL GROUP,NJ,LUMBERTON,0,27.73,POINT (-74.806639 39.963487)
INTERMOUNTAIN HEALTHCA,UT,LOGAN,4587.50,2286.35,POINT (-111.834857 41.735211)
CARDIOLOGY PHYSICIANS,CT,FAIRFIELD,0,716.62,POINT (-73.249812 41.143322)
HEMPHILL COUNTY HOSPIT,TX,CANADIAN,718.62,51.33,POINT (-100.384858 35.914930000000005)
BAPTIST EMERGENCY HOSP,TX,SAN ANTONIO,274.42,733.68,POINT (-98.494599 29.425172999999997)
FLORIDA EMERGENCY PHYS,FL,ORLANDO,33537.63,16530.97,POINT (-81.378879 28.538331)
JEFFERSON UNIVERSITY P,PA,BENSALEM,0,468.77,POINT (-74.942875 40.110248)
MARY HITCHCOCK MEMORIA,NH,LEBANON,5286.77,851.33,POINT (-72.250595 43.642425)
PROPATH SERVICES LLC,TX,DALLAS,100.00,0,POINT (-96.796215 32.777977)
UNMC PHYSICIANS CORPOR,CT,FAIRFIELD,0,493.76,POINT (-73.249812 41.143322)
ASSOCIATED PHYSICIANS,MA,AYER,379.90,251.43,POINT (-71.586527 42.559168)
KENNEDY MEDICAL GROUP,NJ,STRATFORD,0,693.60,POINT (-75.012523 39.834483)
SANTIBANEZ AGUIRRE PC,UT,SALT LAKE CITY,0,599.41,POINT (-111.888142 40.758478)
ONE MEDICAL,CA,SAN FRANCISCO,143.55,0,POINT (-122.42016799999999 37.780080000000005)
IOWA PHYSICIANS CLINIC,IA,ALTOONA,83.84,0,POINT (-93.464609 41.64404)
NYPMG QUEENS,NY,WHITESTONE,143.24,1794.18,POINT (-73.818901 40.794399)
NORTH SHORE LIJ,NY,NEW HYDE PARK,1561.54,977.21,POINT (-73.688398 40.735251)
GERIATRIC HOME CARE PH,TX,SUGAR LAND,0,596.33,POINT (-95.620971 29.597075000000004)
HOWARD UNIVERSITY HOSP,DC,WASHINGTON,0,2949.58,POINT (-77.019912 38.892062)
BANNER HOSPITAL BASED,AZ,PAGE,0,9.23,POINT (-111.45617400000002 36.910943)
MINUTECLINIC DIAGNOSTI,IN,INDIANAPOLIS,11499.48,217.60,POINT (-86.156212 39.76845)
ST VINCENT INFIRMARY M,AR,LITTLE ROCK,1197.65,6492.59,POINT (-92.275105 34.748745)
UNC PHYSICIANS NETWORK,NC,CHAPEL HILL,50.62,0,POINT (-79.055474 35.910262)
ST LUKES PHYSICIAN GRO,PA,MACUNGIE,25.82,0,POINT (-75.549535 40.512715)
HOLY CROSS MEDICAL GRO,FL,OAKLAND PARK,66160.69,147505.19,POINT (-80.131699 26.172296)
SACRED HEART MEDICAL G,FL,PENSACOLA,0,1241.25,POINT (-87.21757800000002 30.406931)
TRIDENT REGIONAL MEDIC,SC,MONCKS CORNER,11243.52,12836.09,POINT (-80.010346 33.194788)
FLORIDA COMMUNITY HEAL,FL,CLEWISTON,6779.89,843.04,POINT (-80.946915 26.749279)
IOWA PHYSICIANS CLINIC,IL,EAST MOLINE,142.12,0,POINT (-90.444407 41.500559)
SOUTH TEXAS RENAL CARE,TX,SAN ANTONIO,210.14,0,POINT (-98.494599 29.425172999999997)
AHMC GREATER EL MONTE,CA,SOUTH EL MONTE,0,10482.48,POINT (-118.046258 34.043996)
VANDERBILT UNIVERSITY,TN,BRENTWOOD,880.44,101.72,POINT (-86.778892 35.995514)
UNIVERSITY EMERGENCY M,RI,PROVIDENCE,27887.34,21803.35,POINT (-71.412747 41.824461)
EMERGENCY MEDICINE ASS,MD,LANHAM SEABROOK,4796.06,3226.72,
CENTRAL FLORIDA HEALTH,FL,LAKELAND,1386.78,0,POINT (-81.954113 28.040507)
OB PERINATOLOGY GROUP,NY,ROCHESTER,87.08,0,POINT (-77.612547 43.155708)
ALLEGHANY HEALTH NETWO,PA,PITTSBURGH,2778.15,0,POINT (-79.994945 40.442169)
PURDUE UNIVERSITY STUD,IN,BURLINGTON,102.66,0,POINT (-86.394995 40.481653)
GREENBRIER VMC LLC,WV,RONCEVERTE,1302.66,0,POINT (-80.470248 37.747827)
ST MARYS HOSPITAL,IL,CENTRALIA,300.00,0,POINT (-89.133204 38.526099)
ABBOTT NORTHWESTERN HO,MN,RICHFIELD,2907.20,901.91,POINT (-93.26793900000001 44.879904)
CAPE COD EMERGENCY ASS,MA,BOSTON,124.85,0,POINT (-71.056742 42.358894)
AM PM WALK IN URGENT C,NJ,BERGENFIELD,81843.75,469.34,POINT (-73.996012 40.927858)
PROMINIS MEDICAL SERVI,NY,STATEN ISLAND,78.19,0,POINT (-74.076203 40.643498)
ARTURO LOPEZ MD PA,TX,SAN ANTONIO,0,2739.47,POINT (-98.494599 29.425172999999997)
LEHIGH VALLEY PHYSICIA,PA,EMMAUS,1043.60,15.13,POINT (-75.495191 40.53676)
JOHNS HOPKINS UNIVERSI,MD,LUTHERVILLE,0,3217.55,POINT (-76.612943 39.426296)
ABBOTT NORTHWESTERN HO,MN,MINNEAPOLIS,2327.65,581.44,POINT (-93.264346 44.977479)
MID SUSSEX MEDICAL CEN,DE,SEAFORD,0,276.95,POINT (-75.622492 38.64624)
IOWA SPECIALTY HOSPITA,IA,BELMOND,333.29,49340.07,POINT (-93.602404 42.848753)
HEALTHSTAR PHYSICIANS,TN,DANDRIDGE,21.57,0,POINT (-83.415609 36.016652)
DONLEY COUNTY MEDICAL,TX,CLARENDON,349.27,498.37,POINT (-100.890953 34.939307)
NORTH SHORE LIJ,NY,GLEN COVE,816.40,7929.81,POINT (-73.63976 40.867785)
PHILLIPS LANDING EMERG,AR,VAN BUREN,125.36,166.67,POINT (-94.347781 35.436742)
CPH HOSPITAL MANAGEMEN,CA,NORWALK,51.33,0,POINT (-118.07249399999999 33.914183)
PRACTICE ASSOCIATES ME,NJ,NEWARK,308.41,342.22,POINT (-74.174388 40.731507)
RADIOLOGY ASSOC OF MOB,AL,MOBILE,1809.66,431.28,POINT (-88.044822 30.688943)
ST JOHN HOSPITAL AND M,MI,SOUTHFIELD,17.76,53.54,POINT (-83.240756 42.477952)
ESSENTIA HEALTH ST MAR,MN,FRAZEE,123.46,0,POINT (-95.699341 46.726969)
SOUTHERN ILLINOIS HEAL,IL,EAST SAINT LOUIS,303.60,0,POINT (-90.154935 38.622934)
COMMUNITY MEDICAL CENT,MS,LUCEDALE,2096.23,579.05,POINT (-88.595879 30.924753999999997)
CENTENNIAL HEART LLC,TN,LAFAYETTE,0,69.95,POINT (-86.027064 36.524484)
FAMILY HEALTHCARE OF L,NC,HUNTERSVILLE,75.77,0,POINT (-80.848994 35.410565)
DUKE UNIV AFFIL PHYSIC,NC,CARY,540.58,0,POINT (-78.781139 35.791444)
SCOTT WHITE CLINIC,TX,TEMPLE,839.71,1168.12,POINT (-97.342737 31.098237)
JOSE A AGUIRRE MD PC,NV,GARDNERVILLE,0,430.83,POINT (-119.739355 38.938564)
PRIMARY CARE GROUP,TN,MEMPHIS,120.42,0,POINT (-90.052136 35.143378)
PROVIDENCE TARZANA MED,CA,TARZANA,1284.22,3238.16,POINT (-118.553101 34.173302)
HEALTH TEXAS PROVIDER,TX,WAXAHACHIE,0,1113.75,POINT (-96.84699200000001 32.39361)
LURIE CHILDRENS MEDICA,IL,WESTCHESTER,0,21.56,POINT (-87.882142 41.855821)
Montefiore Mount Verno,NY,MOUNT VERNON,2057.21,62669.39,POINT (-73.837264 40.912696)
CITY OF LINDEN,NJ,LINDEN,0,2259.00,POINT (-74.249961 40.629587)
SANTIBANEZ AGUIRRE PC,UT,BOUNTIFUL,0,2287.43,POINT (-111.878388 40.879209)
ABBOTT NORTHWESTERN HO,MN,MINNEAPOLIS,16885.01,204906.60,POINT (-93.264346 44.977479)
LALLIE KEMP CHARITY HO,LA,INDEPENDENCE,27271.11,0,POINT (-90.500399 30.633635999999996)
MAYO CLINIC ARIZONA,AZ,PHOENIX,18950.36,50429.35,POINT (-112.072585 33.448204)
PARAGOULD ANESTHESIA G,TN,MEMPHIS,16.36,0,POINT (-90.052136 35.143378)
MOUNT CARMEL HEALTH PR,OH,COLUMBUS,0,446.24,POINT (-82.996216 39.962649)
BLUFFTON REGIONAL MEDI,IN,BLUFFTON,1029.69,208.14,POINT (-85.171491 40.738702)
PATIENT FIRST,VA,FREDERICKSBURG,782.11,45.78,POINT (-77.460658 38.303297)
GASTROENTEROLOGY ASSOC,NJ,LINCOLN PARK,0,238.65,POINT (-74.30414700000001 40.921859)
MMC EMERGENCY PHYSICIA,CA,SANTA MARIA,529.17,0,POINT (-120.43588099999998 34.948403)
OVEIDO MEDICAL CENTER,FL,OVIEDO,8345.83,953.48,POINT (-81.208479 28.670289999999998)
TAMPA FAMILY HELATH CE,FL,TAMPA,193.52,0,POINT (-82.458776 27.947423)
EL RIO COMMUNITY HEALT,AZ,TUCSON,0,863.90,POINT (-110.971225 32.221878)
WELLSTAR KENNESTONE HO,GA,MARIETTA,167008.06,759797.86,POINT (-84.549051 33.952304)
SUSQUEHANNA PHYSICIAN,PA,WILLIAMSPORT,240.86,0,POINT (-77.04192 41.241489)
ALTAMED HEALTH SERVICE,CA,GARDEN GROVE,492.45,815.27,POINT (-117.937878 33.776069)
COTTON ONEIL CLINIC,KS,LEBO,379.68,0,POINT (-95.857845 38.412819)
BAYLOR COLLEGE OF MEDI,TX,HOUSTON,0,164.02,POINT (-95.369506 29.760803)
UNIVERSITY OF MISSISSI,MS,JACKSON,72539.87,524257.74,POINT (-90.183488 32.302897)
TWIN RIVERS URGENT CAR,NE,NORTH PLATTE,51.33,0,POINT (-100.763969 41.132507)
GNADEN HEUTTEN MEMORIA,PA,BOWMANSTOWN,3845.31,0,POINT (-75.660845 40.8026)
FLOYD HEALTHCARE MANAG,GA,SUMMERVILLE,832.68,0,POINT (-85.347851 34.48069)
DOCTORS EXPRESS,NJ,LYNDHURST,2595.75,0,POINT (-74.122862 40.802736)
ADVANTAGECARE PHYSICAN,NY,HICKSVILLE,404.84,0,POINT (-73.523788 40.76296)
QUEST DIAGNOSTICS AML,NV,LAS VEGAS,10450.25,200.00,POINT (-115.14059700000001 36.169202)
NUCH OF TEXAS,TX,ROCKWALL,644.77,0,POINT (-96.45865 32.931051)
UNIVERSITY OF CINCINNA,OH,CINCINNATI,82.75,0,POINT (-84.513808 39.104427)
HOLY CROSS MEDICAL GRO,FL,FORT LAUDERDALE,0,2577.92,POINT (-80.143586 26.124163)
ONE MEDICAL,CA,PALO ALTO,255.18,0,POINT (-122.16036299999999 37.445103)
SACRED HEART HOSPITAL,FL,MIRAMAR BEACH,0,39050.28,POINT (-86.363493 30.375132)
DOCTORS EXPRESS,OR,LAKE OSWEGO,949.26,0,POINT (-122.667696 45.421092)
SSM HEALTHCARE OF WISC,WI,WISCONSIN DELLS,8324.59,13923.82,POINT (-89.775781 43.652392)
NEIGHBORHOOD MEDICAL C,NJ,BELLEVILLE,0,159.10,POINT (-74.152885 40.787363)
JOINT TOWNSHIP DISTRIC,OH,SAINT MARYS,1446.90,2471.24,POINT (-84.39032400000002 40.542236)
PUBLIC HOSPITAL DIST 2,WA,ANACORTES,5984.33,46.20,POINT (-122.631503 48.505447)
HISTOPATHOLOGY SERVICE,NJ,RAMSEY,3400.00,0,POINT (-74.143964 41.057148)
PALMS WEST HOSPITAL,FL,LOXAHATCHEE,16535.85,506934.51,POINT (-80.279999 26.6833)
VIRTUA MEDICAL GROUP,NJ,MOORESTOWN,18.22,242.00,POINT (-74.949841 39.962524)
HEALTHEAST MEDICAL RES,MN,SAINT PAUL,0,1246.66,POINT (-93.094281 44.943719)
HEALTH SERVICES COMMUN,TX,TRINITY,113.58,0,POINT (-95.375142 30.945066000000004)
HOSPITAL AUTHORITY OF,GA,LAKE PARK,0,9.10,POINT (-83.179653 30.684095000000003)
HIGHLAND PHYSICIAN SER,NJ,MONTCLAIR,0,2355.86,POINT (-74.212664 40.822167)
MIDDLESEX HOSPITAL,CT,MIDDLETOWN,600.00,16185.46,POINT (-72.651713 41.544654)
CHARTER OAK HEALTH CEN,MA,NEWTON,189.08,81.76,POINT (-71.211578 42.338028)
NORTHERN COLORADO HOSP,CO,FORT COLLINS,0,6682.93,POINT (-105.082459 40.588972)
QUALITY OF LIFE HEALTH,AL,GADSDEN,18.09,0,POINT (-86.021173 34.011579)
LIVE OAK HMA LLC,FL,LIVE OAK,458.83,6698.22,POINT (-82.986458 30.299265)
MEMORIAL HERMANN MEDIC,TX,HOUSTON,0,23987.71,POINT (-95.369506 29.760803)
MERCY MEDICAL CENTER,MA,SPRINGFIELD,1044.90,674.87,POINT (-72.585757 42.102051)
PROVIDENCE HEALTH AND,OR,PORTLAND,96.08,0,POINT (-122.68142500000002 45.516018)
